,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
688,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-11-22,128192,43450,25490,   -8273,  -13902,   -7532
689,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-11-15,136465,57352,33022,  -11219,   -7133,   -4447
690,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-11-08,147684,64485,37469,    8627,    7688,    6538
691,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-11-01,139057,56797,30931,   12241,   10966,    8171
692,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-10-25,126816,45831,22760,    5125,    4436,    1718
693,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-10-18,121691,41395,21042,    3509,    4199,   -5401
694,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-10-11,118182,37196,26443,   18166,    1259,    3417
695,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-10-04,100016,35937,23026,   17436,    6515,   -1229
696,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-09-27,82580,29422,24255,    3964,   -9627,    8301
697,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-09-20,78616,39049,15954,  -46770,  -10965,    2874
698,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-09-13,125386,50014,13080,   -6212,  -12233,   -1126
699,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-09-06,131598,62247,14206,   11204,    1642,    1170
700,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-08-30,120394,60605,13036,    8326,    9688,    5693
701,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-08-23,112068,50917,7343,    8906,    9631,   -4220
702,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-08-16,103162,41286,11563,   -1365,     446,    -261
703,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-08-09,104527,40840,11824,  -29403,  -50512,   -3930
