,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
113332,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-01-07,8979,5318,4404,    3150,    2080,    1762
113333,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-12-31,5829,3238,2642,   -1460,    -939,    -285
113334,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-12-24,7289,4177,2927,    -287,    -103,      73
113335,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-12-17,7576,4280,2854,    -326,    -866,    -750
113336,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-12-10,7902,5146,3604,   -1332,    -106,    -631
113337,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-12-03,9234,5252,4235,    1442,    1074,    1962
113338,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-11-26,7792,4178,2273,      78,    -965,   -1662
113339,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-11-19,7714,5143,3935,    -142,    -115,    -134
113340,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-11-12,7856,5258,4069,    2428,    2573,    2461
113341,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-11-05,5428,2685,1608,    -294,     124,    -445
113342,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-10-29,5722,2561,2053,      86,     204,    -177
113343,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-10-22,5636,2357,2230,   -3731,   -3309,   -2503
113344,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-10-15,9367,5666,4733,    1235,     946,      -1
113345,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-10-08,8132,4720,4734,     360,     403,     718
113346,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-10-01,7772,4317,4016,    -426,   -1065,      32
113347,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-09-24,8198,5382,3984,   -1559,    -285,    -139
113348,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-09-17,9757,5667,4123,    1153,    1826,    1291
113349,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-09-10,8604,3841,2832,     899,    -981,     -52
113350,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-09-03,7705,4822,2884,   -1010,    -650,    -568
113351,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-08-27,8715,5472,3452,      44,      -7,     736
113352,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-08-20,8671,5479,2716,    -347,    -507,   -1158
113353,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-08-13,9018,5986,3874,    1015,     972,    1278
113354,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-08-06,8003,5014,2596,    -723,    -879,   -1170
113355,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-07-30,8726,5893,3766,    -155,   -1186,    -381
113356,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-07-23,8881,7079,4147,     237,    1948,     210
113357,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-07-16,8644,5131,3937,    1789,    2135,     896
113358,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-07-09,6855,2996,3041,     -73,     138,     -54
113359,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-07-02,6928,2858,3095,     816,    -914,    -126
113360,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-06-25,6112,3772,3221,   -1927,     170,    -698
113361,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-06-18,8039,3602,3919,     416,    -213,    -107
113362,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-06-11,7623,3815,4026,     858,     658,     646
113363,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-06-04,6765,3157,3380,   -4860,   -4019,   -3485
113364,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-05-28,11625,7176,6865,    1225,    1040,    1012
113365,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1996-05-21,10400,6136,5853,    1791,    1895,    1358
