,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
186,10342.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-07-06,55441,28390,14814,   -2824,   -1751,    -583
187,10343.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-06-29,58265,30141,15397,   -5011,   -1689,   -3493
188,10344.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-06-22,63276,31830,18890,   -1718,   -4915,    2202
189,10345.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-06-15,64994,36745,16688,   -1655,    -972,    -865
190,10346.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-06-08,66649,37717,17553,    -902,   -1346,    2535
191,10347.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-06-01,67551,39063,15018,     304,     875,    -183
192,10348.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-05-25,67247,38188,15201,     486,    -686,    2141
193,10349.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-05-18,66761,38874,13060,     646,    -864,     589
194,10350.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-05-11,66115,39738,12471,    1260,    -156,     808
195,10351.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-05-04,64855,39894,11663,    -356,    -602,     463
196,10352.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-04-27,65211,40496,11200,    1598,    3281,    -330
197,10353.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-04-20,63613,37215,11530,   -2048,    -675,   -1728
198,10354.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-04-13,65661,37890,13258,   -2447,   -5731,    2385
199,10355.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-04-06,68108,43621,10873,     628,    2604,     462
200,10356.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-03-30,67480,41017,10411,   -5844,     103,    -277
201,10357.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-03-23,73324,40914,10688,   -1486,   -1771,    -554
202,10358.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-03-16,74810,42685,11242,    3399,    1889,   -1517
203,10359.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-03-09,71411,40796,12759,   -1270,   -1964,     532
204,10360.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-03-02,72681,42760,12227,   -1283,   -4143,     291
205,10361.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-02-23,73964,46903,11936,    -816,   -1334,     276
206,10362.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-02-16,74780,48237,11660,    2729,     707,     330
207,10363.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-02-09,72051,47530,11330,    7350,    7278,    1288
208,10364.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-02-02,64701,40252,10042,    2171,    2065,    1393
209,10365.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-01-26,62530,38187,8649,    2718,    2352,     700
210,10366.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-01-19,59812,35835,7949,     -81,    -883,   -1310
211,10367.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-01-12,59893,36718,9259,   -1292,    -594,    -431
212,10368.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-01-05,61185,37312,9690,    1786,    2084,     291
213,10455.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-12-29,59399,35228,9399,   -5613,    -563,   -1687
214,10456.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-12-21,65012,35791,11086,    -869,   -1133,    -762
215,10457.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-12-15,65881,36924,11848,    2309,     625,      51
216,10458.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2020-12-08,63572,36299,11797,    5602,    3246,     770
