,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
106231,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-15,35007,8799,15061,     -46,    -337,    -888
106232,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-08,35053,9136,15949,    -168,    -595,   -1042
106233,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-01,35221,9731,16991,    1622,     662,    2550
106234,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-24,33599,9069,14441,    1340,   -6227,    2665
106235,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-17,32259,15296,11776,  -20186,    5681,    -869
106236,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-10,52445,9615,12645,    3509,   -2292,   -1274
106237,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-06-03,48936,11907,13919,     652,     348,   -1512
106238,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-27,48284,11559,15431,    -519,   -5828,    3063
106239,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-20,48803,17387,12368,    3521,     436,    2223
106240,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-13,45282,16951,10145,  -10256,   -8151,   -1773
106241,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-05-06,55538,25102,11918,    8114,    3142,    3661
106242,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-29,47424,21960,8257,     536,     228,     548
106243,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-22,46888,21732,7709,   -2088,   -2173,   -2130
106244,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-15,48976,23905,9839,    4224,    4630,    1899
106245,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-08,44752,19275,7940,   -2476,   -5525,   -2629
106246,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-04-01,47228,24800,10569,    -125,    -237,     351
106247,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-25,47353,25037,10218,   -2038,    -274,      23
106248,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-18,49391,25311,10195,  -17498,    2214,   -3945
106249,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-11,66889,23097,14140,    6357,    1279,   -5510
106250,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-04,60532,21818,19650,    5375,    2422,     612
106251,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-25,55157,19396,19038,    4154,    5208,    2022
106252,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-18,51003,14188,17016,    8570,    2022,    5405
106253,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-11,42433,12166,11611,     515,   -1070,     595
106254,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-04,41918,13236,11016,    1049,    1847,    -814
