,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
156,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-02-08,45097,43853,-8670,-9184,134257,-7095,1244,514.0
157,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-02-01,53767,53037,-12682,-14202,141352,-8790,730,1520.0
158,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-01-25,66449,67239,-9012,-3302,150142,-1636,-790,-5710.0
159,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-01-18,75461,70541,22267,12896,151778,24623,4920,9371.0
160,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-01-11,53194,57645,8318,3279,127155,7407,-4451,5039.0
161,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-01-04,44876,54366,11315,11797,119748,17330,-9490,-482.0
162,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-12-28,33561,42569,3540,7756,102418,7949,-9008,-4216.0
163,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-12-21,30021,34813,-4727,-10608,94469,-6580,-4792,5881.0
164,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-12-14,34748,45421,-36043,-89496,101049,-99124,-10673,53453.0
165,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-12-07,70791,134917,-15049,-10670,200173,4454,-64126,-4379.0
166,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-11-30,85840,145587,5149,15435,195719,11476,-59747,-10286.0
167,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-11-23,80691,130152,10707,12513,184243,14141,-49461,-1806.0
168,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-11-16,69984,117639,8193,7441,170102,5950,-47655,752.0
169,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-11-09,61791,110198,238,-2373,164152,-3524,-48407,2611.0
170,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-11-02,61553,112571,-2124,5605,167676,5134,-51018,-7729.0
171,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-10-26,63677,106966,-6515,-1797,162542,-1726,-43289,-4718.0
172,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-10-19,70192,108763,-3937,-5000,164268,-7486,-38571,1063.0
173,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-10-12,74129,113763,-2945,1110,171754,3635,-39634,-4055.0
174,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-10-05,77074,112653,-15349,635,168119,-4521,-35579,-15984.0
175,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-09-28,92423,112018,3690,4270,172640,2742,-19595,-580.0
176,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-09-21,88733,107748,-7215,-4052,169898,-6878,-19015,-3163.0
177,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-09-14,95948,111800,7780,6115,176776,-3764,-15852,1665.0
178,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-09-07,88168,105685,16116,12590,180540,27255,-17517,3526.0
179,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-08-31,72052,93095,985,-1802,153285,1162,-21043,2787.0
180,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-08-24,71067,94897,-5463,-750,152123,-7476,-23830,-4713.0
181,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-08-17,76530,95647,6712,1942,159599,7089,-19117,4770.0
182,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-08-10,69818,93705,-969,1621,152510,-1853,-23887,-2590.0
183,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-08-03,70787,92084,5383,273,154363,4015,-21297,5110.0
184,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-07-27,65404,91811,-737,-2751,150348,3936,-26407,2014.0
185,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-07-20,66141,94562,-3470,-2481,146412,-2970,-28421,-989.0
186,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-07-13,69611,97043,-1177,3922,149382,1923,-27432,-5099.0
187,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-07-06,70788,93121,-661,2218,147459,3024,-22333,-2879.0
188,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-06-29,71449,90903,9494,357,144435,4561,-19454,9137.0
189,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-06-22,61955,90546,-6720,-2059,139874,-4931,-28591,-4661.0
190,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-06-15,68675,92605,4861,22230,144805,-15006,-23930,-17369.0
191,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-06-08,63814,70375,-6066,-3151,159811,304,-6561,-2915.0
192,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-06-01,69880,73526,6012,1160,159507,12615,-3646,4852.0
193,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-05-25,63868,72366,1617,-3,146892,2180,-8498,1620.0
194,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-05-18,62251,72369,626,2264,144712,1389,-10118,-1638.0
195,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-05-11,61625,70105,-4323,-289,143323,-2625,-8480,-4034.0
196,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-05-04,65948,70394,-9606,-4200,145948,-8896,-4446,-5406.0
197,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-04-27,75554,74594,7542,3028,154844,8307,960,4514.0
198,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-04-20,68012,71566,4625,-3799,146537,2918,-3554,8424.0
199,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-04-13,63387,75365,5777,4613,143619,6749,-11978,1164.0
200,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-04-06,57610,70752,-479,-2450,136870,373,-13142,1971.0
201,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-03-30,58089,73202,5677,-104,136497,6293,-15113,5781.0
202,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-03-23,52412,73306,12275,3712,130204,16280,-20894,8563.0
203,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-03-16,40137,69594,-10212,21097,113924,-53363,-29457,-31309.0
204,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-03-09,50349,48497,-1749,830,167287,7532,1852,-2579.0
205,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-03-02,52098,47667,-2557,-3963,159755,-5845,4431,1406.0
206,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-02-23,54655,51630,-3015,-4628,165600,2278,3025,1613.0
207,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-02-16,57670,56258,4467,4538,163322,5282,1412,-71.0
208,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2021-02-09,53203,51720,-203,1182,158040,7259,1483,-1385.0
